StartTime,EndTIme,Count
05:01 PM - 09 Oct 2016,06:01 PM - 09 Oct 2016,11
06:01 PM - 09 Oct 2016,07:01 PM - 09 Oct 2016,22
07:01 PM - 09 Oct 2016,08:01 PM - 09 Oct 2016,55
08:01 PM - 09 Oct 2016,09:01 PM - 09 Oct 2016,49
09:01 PM - 09 Oct 2016,10:01 PM - 09 Oct 2016,44
10:01 PM - 09 Oct 2016,11:01 PM - 09 Oct 2016,71
11:01 PM - 09 Oct 2016,12:01 AM - 10 Oct 2016,72
12:01 AM - 10 Oct 2016,01:01 AM - 10 Oct 2016,96
01:01 AM - 10 Oct 2016,02:01 AM - 10 Oct 2016,77
02:01 AM - 10 Oct 2016,03:01 AM - 10 Oct 2016,86
03:01 AM - 10 Oct 2016,04:01 AM - 10 Oct 2016,107
04:01 AM - 10 Oct 2016,05:01 AM - 10 Oct 2016,108
05:01 AM - 10 Oct 2016,06:01 AM - 10 Oct 2016,155
06:01 AM - 10 Oct 2016,07:01 AM - 10 Oct 2016,149
07:01 AM - 10 Oct 2016,08:01 AM - 10 Oct 2016,168
08:01 AM - 10 Oct 2016,09:01 AM - 10 Oct 2016,189
09:01 AM - 10 Oct 2016,10:01 AM - 10 Oct 2016,235
10:01 AM - 10 Oct 2016,11:01 AM - 10 Oct 2016,291
11:01 AM - 10 Oct 2016,12:01 PM - 10 Oct 2016,365
12:01 PM - 10 Oct 2016,01:01 PM - 10 Oct 2016,509
01:01 PM - 10 Oct 2016,02:01 PM - 10 Oct 2016,498
02:01 PM - 10 Oct 2016,03:01 PM - 10 Oct 2016,684
03:01 PM - 10 Oct 2016,04:01 PM - 10 Oct 2016,1270
04:01 PM - 10 Oct 2016,05:01 PM - 10 Oct 2016,4327
05:01 PM - 10 Oct 2016,06:01 PM - 10 Oct 2016,31
06:01 PM - 10 Oct 2016,07:01 PM - 10 Oct 2016,28
07:01 PM - 10 Oct 2016,08:01 PM - 10 Oct 2016,48
08:01 PM - 10 Oct 2016,09:01 PM - 10 Oct 2016,55
09:01 PM - 10 Oct 2016,10:01 PM - 10 Oct 2016,37
10:01 PM - 10 Oct 2016,11:01 PM - 10 Oct 2016,70
11:01 PM - 10 Oct 2016,12:01 AM - 11 Oct 2016,53
12:01 AM - 11 Oct 2016,01:01 AM - 11 Oct 2016,43
01:01 AM - 11 Oct 2016,02:01 AM - 11 Oct 2016,58
02:01 AM - 11 Oct 2016,03:01 AM - 11 Oct 2016,84
03:01 AM - 11 Oct 2016,04:01 AM - 11 Oct 2016,118
04:01 AM - 11 Oct 2016,05:01 AM - 11 Oct 2016,116
05:01 AM - 11 Oct 2016,06:01 AM - 11 Oct 2016,84
06:01 AM - 11 Oct 2016,07:01 AM - 11 Oct 2016,117
07:01 AM - 11 Oct 2016,08:01 AM - 11 Oct 2016,155
08:01 AM - 11 Oct 2016,09:01 AM - 11 Oct 2016,167
09:01 AM - 11 Oct 2016,10:01 AM - 11 Oct 2016,212
10:01 AM - 11 Oct 2016,11:01 AM - 11 Oct 2016,231
11:01 AM - 11 Oct 2016,12:01 PM - 11 Oct 2016,238
12:01 PM - 11 Oct 2016,01:01 PM - 11 Oct 2016,496
01:01 PM - 11 Oct 2016,02:01 PM - 11 Oct 2016,499
02:01 PM - 11 Oct 2016,03:01 PM - 11 Oct 2016,618
03:01 PM - 11 Oct 2016,04:01 PM - 11 Oct 2016,1082
04:01 PM - 11 Oct 2016,05:01 PM - 11 Oct 2016,3746
05:01 PM - 11 Oct 2016,06:01 PM - 11 Oct 2016,22
06:01 PM - 11 Oct 2016,07:01 PM - 11 Oct 2016,30
07:01 PM - 11 Oct 2016,08:01 PM - 11 Oct 2016,65
08:01 PM - 11 Oct 2016,09:01 PM - 11 Oct 2016,21
09:01 PM - 11 Oct 2016,10:01 PM - 11 Oct 2016,34
10:01 PM - 11 Oct 2016,11:01 PM - 11 Oct 2016,23
11:01 PM - 11 Oct 2016,12:01 AM - 12 Oct 2016,30
