index,StartTime,EndTime,Lat,Long,Count
160,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,23.03005,72.58,6
161,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,23.72305,90.40857,5
162,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,26.45999,80.31999,2
163,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,26.92113,75.80998,6
164,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,29.56497,106.5949,1
165,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,30.58003,114.27,2
166,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,30.67,104.07,2
167,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,32.05001,118.7799,1
168,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,33.33864,44.39386,4
169,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,34.27502,108.8949,3
170,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,34.51669,69.18326,1
171,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,37.87501,112.545,1
172,04:01 AM - 01 Oct 2016,05:01 AM - 01 Oct 2016,39.13002,117.2,6
173,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,-8.83828,13.23442,3
174,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,-4.32972,15.31497,2
175,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,5.319996,-4.04004,2
176,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,10.78002,106.695,13
177,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,11.99997,8.520037,4
178,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,13.08998,80.27999,14
179,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,15.58807,32.53417,10
180,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,16.78335,96.16667,7
181,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,21.19998,72.84003,1
182,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,22.32999,91.79996,1
183,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,23.03005,72.58,2
184,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,23.72305,90.40857,8
185,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,26.45999,80.31999,2
186,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,26.92113,75.80998,5
187,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,29.56497,106.5949,3
188,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,30.67,104.07,2
189,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,31.55997,74.35002,4
190,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,32.05001,118.7799,3
191,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,33.33864,44.39386,2
192,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,34.27502,108.8949,2
193,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,34.51669,69.18326,1
194,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,37.87501,112.545,2
195,05:01 AM - 01 Oct 2016,06:01 AM - 01 Oct 2016,39.13002,117.2,2
196,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,-8.83828,13.23442,5
197,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,9.03331,38.7,1
198,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,10.78002,106.695,16
199,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,11.99997,8.520037,4
200,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,13.08998,80.27999,15
201,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,15.58807,32.53417,7
202,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,16.78335,96.16667,3
203,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,21.19998,72.84003,2
204,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,22.32999,91.79996,1
205,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,22.49496,88.32467,1
206,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,23.03005,72.58,7
207,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,23.72305,90.40857,3
208,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,26.92113,75.80998,4
209,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,29.56497,106.5949,3
210,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,30.58003,114.27,4
211,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,30.67,104.07,2
212,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,31.55997,74.35002,5
213,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,32.05001,118.7799,3
214,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,34.27502,108.8949,1
215,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,34.51669,69.18326,3
216,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,37.87501,112.545,1
217,06:01 AM - 01 Oct 2016,07:01 AM - 01 Oct 2016,41.80497,123.4499,1
218,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,-4.32972,15.31497,2
219,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,5.319996,-4.04004,4
220,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,9.03331,38.7,2
221,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,10.78002,106.695,14
222,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,11.99997,8.520037,2
223,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,13.08998,80.27999,19
224,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,15.58807,32.53417,10
225,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,16.78335,96.16667,6
226,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,17.39998,78.47995,9
227,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,21.19998,72.84003,2
228,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,22.32999,91.79996,1
229,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,22.49496,88.32467,8
230,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,23.03005,72.58,3
231,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,23.72305,90.40857,9
232,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,26.92113,75.80998,4
233,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,29.56497,106.5949,6
234,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,30.58003,114.27,2
235,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,30.67,104.07,4
236,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,31.55997,74.35002,2
237,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,32.05001,118.7799,3
238,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,34.51669,69.18326,1
239,07:01 AM - 01 Oct 2016,08:01 AM - 01 Oct 2016,37.87501,112.545,5
